name,start_time,end_time,published,location_name,location_zip,location_address1,location_address2,location_country
"Point fixe tractage les ""7 coups de macron contre la jeunesse""",1544089500.0,1544101200.0,True,campus du Saulcy,57000,cité universitaire,,FR
Réunion mensuelle GA FI Blagnac Constellation,1543863600.0,1543870800.0,True,Réunion mensuelle GA FI Blagnac Constellation,31700,"52, avenue Lucien Servanty",,FR
rencontre inter GA,1543519800.0,1543525200.0,True,café la souris verte,16000,1 rue Massillon,,FR
Réunion de lancement d'un comité d'appui pour l'élection européenne (par 5 GA de LFI de Drôme nord),1545328800.0,1545339600.0,True,Maison de quartier Saint Nicolas,26100,14 rue du chapitre,,FR
Tractage / Porte  porte,1543656600.0,1543663800.0,True,Placette devant le Carrefour City au Breil,44100,52 Boulevard Pierre de Coubertin (Bus 52 arrêt Petit Carcouet),,FR
Distribution de tracts et pose de panneaux sur les feux rouges annoncant le meeting avec Clémentine Autain,1543568400.0,1543575600.0,True,Marché de la place des Dômes,63800,place des Dômes,,FR
collage centre-ville,1543345200.0,1543352400.0,True,halles du Cours Lafayette,83000,"8, rue Jean Aicard",,FR
MANIF nationale contre le chomage et la précarité et On va chercher la vaisselle à Brigitte,1543662000.0,1543683600.0,True,la République,75011,Place de la République,,FR
Vote sur les campagnes nationales du mouvement pour 2019,1543186800.0,1543870800.0,False,,,,,
"Formation Communication (site LFI, FB, Frama, ...)",1544032800.0,1544040000.0,True,Maison des syndicats,44000,Place de la gare de l'état,,FR
Affichage,1543359600.0,1543359600.0,True,Lodève,34700,Place Francis Morand,,FR
reunion 15 eme circonscription nord,1543514400.0,1543521600.0,True,Réunion hazebrouck et godewaersvelde insoumis,59190,13 RUE LOUIS ARAGON,,FR
réunion groupe - mise en place actions,1544029200.0,1544036400.0,True,à déterminer,36000,chtx,,FR
doléances des gilets jaunes de Châteauroux,1543424400.0,1543431600.0,True,cap sud,36000,capsud,,FR
CinéClub insoumis: film « En Guerre » suivi d’un débat,1547578800.0,1547589600.0,True,CinéParadis,77300,10 avenue du marechal de Villars,,FR
Lancement Comité d'appui Election Européenne,1545328800.0,1545339600.0,True,Maison de quartier St Nicolas,26100,14 rue du Chapitre,,FR
manifestation contre le démantèlement de l'hôpital,1544016600.0,1544025600.0,True,hôpital de Beaumont sur Oise,95260,25 Rue Edmond Turcq,,FR
Campagne des élections européennes //2  –  Paris XV° Nord et Sud,1545330600.0,1545337800.0,True,Patronage Laïque,75015,"61, rue Violet",,FR
Réunion mensuelle,1543944600.0,1543950000.0,True,Café Le NEW 1900,69400,117 Rue Pierre Morin,,FR
"Réunion Publique : Et Maintenant le Peuple avec Adrien Quatennens, député, Younous Omarjee, député européen et Sophie Rauszer, Anne-Sophie Ligniert et Julien Poix, candidat•e•s aux élections euopéennes",1543860000.0,1543869000.0,True,Gymnase de Lille,59000,7 place Sebastopol,,FR
Julefrokost Insoumis,1543771800.0,1543784400.0,True,Restaurant Mirabelle,2200,Guldbergsgade 29,,DK
Réunion des Insoumis Herblinois,1543519800.0,1543527000.0,True,Centre Socio Culturel du Soleil Levant,44800,44 rue Blanche,,FR
Point de rencontre pour distribution de tracts,1544261400.0,1544266800.0,True,Devant la poste de la Chancelllerie,18000,place cothenet,,FR
Point de rencontre sur le marché pour une distribution de tracts,1543914000.0,1543921200.0,True,Marché du Val  d'Auron,18000,Place Martin Luther King,,FR
Soutien aux gilets jaunes,1543402800.0,1543406400.0,True,Rond point de Conforama,18390,Route de St Germain du Puy,,FR
"Formation ""Fonctionnement des instances de l'Union européenne""",1544036400.0,1544043600.0,True,Pizzéria Belfort,31000,2 rue Bertrand de Born,,FR
Réunion de lancement campagne Européennes,1544202000.0,1544209200.0,True,Chez Jean Claude GUYOT et Florence ANTONELLI,33200,12 rue Domion,,FR
Première réunion comité d'appui,1543791600.0,1543791600.0,True,Miguel Alain,13400,chemin des espillères,13400,FR
Distribution tracts  quartiers a forte abstention,1543482000.0,1543489200.0,True,Quartier de Caucriauville,76610,immeubles aux alentours caserne de Gendarmerie,,FR
Réunion des Insoumis(es) du Mans sur les municipales,1543604400.0,1543613400.0,True,Salle Edith Piaf,72100,49 rue de l'Esterel,,FR
diffusion sur pare-brises de voitures.,1543359600.0,1543964400.0,True,Quartiers populaires de Strasbourg,67000,Pas d'adresse définie,,FR
CAMPAGNE EUROPÉENNE avec RHANY SLIMANE - Europe et auto-organisation populaire,1544031000.0,1544036400.0,True,Salle du senechal,31000,17 rue de remusat,,FR
Soutien à l'appel des coquelicots - STOP PESTICIDES,1544198400.0,1544203800.0,True,Mairie de Marthon,16380,"40, grand'rue",,FR
Presentation Texte programmatique national pour les élections,1545242400.0,1545249600.0,True,West-House,93000,avenue Jean Jaures,,FR
réunion vimeu insoumis,1544807700.0,1544814900.0,True,rue jean jaures,80390,16 rue jean jaurès,80390,FR
Réunion suivi d un apéro insoumis ou chacun apporte ses idées et de quoi grignoter et partager.,1543514400.0,1543521600.0,True,hazebrouck,59190,13 Rue Louis Aragon,,FR
reunion du ga,1544806800.0,1544821200.0,True,malmartel,46110,betaille,46110,FR
Distribution de tracts place Sainte Marthe,1543656600.0,1543662000.0,True,Place Sainte Marthe,75010,Devant le café la sardine,-,FR
Réunion mensuel GT Tranports,1544036400.0,1544043600.0,True,Local PG /Ensemble,31000,13 rue du Général Jean Compans,,FR
Réduisons nos déchets. L'association zéro déchet est notre invité,1543424400.0,1543431600.0,True,Local de la France Insoumise,76000,205 rue st julien,76000,FR
réunion débat du GA /AIIA,1543336200.0,1543345200.0,True,cercle de l'harmonie,13400,cours Beaumond,,FR
Assemblée des gilets jaunes de l'est du département,1543341600.0,1543345200.0,True,péage de Pont de l'étoile,13400,"RV au péage de Pont de l'étoile, sur Roquevaire- côté sortie-",,FR
Tractage marché,1543647600.0,1543662000.0,True,Valence place des clercs (marché),26000,Place des clercs,,FR
Formation à la méthode Alinsky,1543759200.0,1543766400.0,True,A domicile,75011,métro Belleville,,FR
Soutien à la manifestation: Défense des abords de la Roseraie,1543599000.0,1543604400.0,True,SQUARE ALLENDE (en face de La Poste).,94240,SQUARE ALLENDE,,FR
Difusion de tracts,1543658400.0,1543680000.0,False,Place Buscaillet,33300,Place Buscaillet,,FR
Convention participative de la France Insoumise,1544268600.0,1544358600.0,True,Local Place au Peuple,39000,"26, avenue thurel",,FR
"Collage d'affiches à Ploulec'h,Trédrez,Ploubezre,Buhulien (10 panneaux)",1543410000.0,1543420800.0,True,Devant l'église,22560,Le bourg,,FR
"Réunion GA des 1er, 2ème, 3ème Arrt",1543428000.0,1543435200.0,True,LOCAL FI,13001,26 ALLEES LEON GAMBETTA,,FR
Soutien actif  aux Gilets jaunes,1543273200.0,1543705200.0,True,rond point du Boutil,22300,route de Guingamp le boutil,,FR
Réunion régulière,1545242400.0,1545249600.0,True,Salle Jean Moulin,14500,Rue de l'industrie,,FR
Réunion actions camp. elect. européennes / salle A03,1543510800.0,1543518000.0,True,Cité Allende,56100,"12, rue Colbert",,FR
Réunion mensuelle du groupe Juvignac Insoumise,1544038200.0,1544045400.0,True,Chez Matthieu,34990,rue du luminaire,,FR
Soirée Formation à l'auto-organisation et aux techniques du porte à porte,1543516200.0,1543525200.0,True,Salle de Sociétés,30660,Place du Coudoulier,,FR
Collage Elections européenne,1543264200.0,1543267800.0,True,Chez Julien et Delphine,34990,rue des Alouettes,,FR
Réunion GA Guérande Insoumise,1543431600.0,1543440600.0,True,Moulin Thierry,44740,Rue du Vieux Moulin,,FR
Permanence des Insoumis.es de Moselle sud à Reding,1543597200.0,1543608000.0,True,Bar Le Lapin Blanc,57445,2 rue de Phalsbourg,,FR
Porte à Porte - Malakoff,1545152400.0,1545159600.0,True,Malakoff,44000,Place Rosa Parks,44000,FR
Porte à Porte - Beaulieu,1544115600.0,1544122800.0,True,Quartier Beaulieu,44200,12 rue Paul Nassivet,44200,FR
Obseques Solennelles d'un Hôpital public,1544868000.0,1544875200.0,True,Entrée principale de l'Hôpital Robert Picqué,33140,351 Route de Toulouse,,FR
Stop à l'évasion fiscale,1543482900.0,1543490100.0,True,"Métro Canal du Midi, côté commissariat de police",31200,Bd de l'embouchure,,FR
Participation à distance séance de clôture de la Convention,1544275800.0,1544283000.0,True,Saint Fulgent des Ormes,61000,A Domicile à St-Fugent,,FR
Rassemblement contre la fermeture de l'école de la source -thonon les bains,1543428000.0,1543437000.0,True,place de la mairie,74200,1 place de l'hôtel de ville,74200,FR
Reunion mensuelle Rennes Centre Nord + Repas de fin d'année!,1544551200.0,1544562000.0,True,La Bascule Ubuntu Café,35000,"2, rue de la Bascule",,FR
Tractage Marché de Caulier,1543743000.0,1543748400.0,True,Place Caulier,59800,5 place Madeleine Caulier,59800,FR
"Réunion débat avec Andrea Kotarac, Conseiller Régional FI",1543604400.0,1543615200.0,True,Salle Marcel Ramillier,69320,Place Claudius Bery,69320,FR
Porte-à-Porte Caulier,1543424400.0,1543431600.0,True,Place Madeleine Caulier-Métro Caulier,59800,2 place Madeleine Caulier,59800,FR
Réunion Publique sur les enjeux de l'election européenne,1544720400.0,1544727600.0,False,Foyer Laurent Bouvier,38150,,,FR
"Jim Delémont, candidat aux élections européenne, invité sur France Bleu Loire Océan",1543302900.0,1543303800.0,True,,,,,
Réunion du groupe Les Outrelois Insoumis,1543860000.0,1543865400.0,True,Le Nad Jac,62230,2 rue du Professeur Clerc,,FR
